"filename", "language", "Markdown", "JSON", "HTML", "PostCSS", "JavaScript", "PHP", "comment", "blank", "total"
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\components\product.html", "HTML", 0, 0, 293, 0, 0, 0, 0, 1, 294
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\components\services.html", "HTML", 0, 0, 126, 0, 0, 0, 0, 1, 127
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\global.css", "PostCSS", 0, 0, 0, 12, 0, 0, 1, 0, 13
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\index.css", "PostCSS", 0, 0, 0, 259, 0, 0, 9, 28, 296
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\index.html", "HTML", 0, 0, 165, 0, 0, 0, 5, 2, 172
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\blackbalzent.menu.css", "PostCSS", 0, 0, 0, 53, 0, 0, 6, 8, 67
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\blackblazent.account.css", "PostCSS", 0, 0, 0, 42, 0, 0, 5, 5, 52
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\cookies.component.css", "PostCSS", 0, 0, 0, 34, 0, 0, 0, 0, 34
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\flooting.window.css", "PostCSS", 0, 0, 0, 82, 0, 0, 0, 6, 88
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\light.dark.mode.css", "PostCSS", 0, 0, 0, 16, 0, 0, 4, 4, 24
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\loading.css", "PostCSS", 0, 0, 0, 34, 0, 0, 4, 4, 42
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\logo.ui.css", "PostCSS", 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\more.page.css", "PostCSS", 0, 0, 0, 34, 0, 0, 3, 3, 40
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\page.navigator.css", "PostCSS", 0, 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\responsive.css", "PostCSS", 0, 0, 0, 88, 0, 0, 0, 32, 120
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\share.gospel.css", "PostCSS", 0, 0, 0, 68, 0, 0, 0, 0, 68
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\src\styles\slogan.component.css", "PostCSS", 0, 0, 0, 48, 0, 0, 5, 6, 59
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\temp.html", "HTML", 0, 0, 169, 0, 0, 0, 4, 28, 201
"Total", "-", 65, 60, 2499, 831, 657, 12, 204, 323, 4651
